	EU HF-Championship 2002			LOG DK3AX			
171	03. Aug 02	2026	80	S50Q	599	80	1
172	03. Aug 02	2027	80	OK1HX	599	51	1
173	03. Aug 02	2028	80	DL3TD	599	67	
174	03. Aug 02	2029	80	ON4UN	599	61	1
175	03. Aug 02	2030	80	EW8DX	599	65	
176	03. Aug 02	2031	80	UA2FZ	599	82	
177	03. Aug 02	2032	80	YP3A	599	70	
178	03. Aug 02	2033	80	OL0E	599	66	
179	03. Aug 02	2034	80	S56A	599	62	
180	03. Aug 02	2035	80	G4OGB	599	82	
181	03. Aug 02	2037	80	LY2ZO	599	73	
182	03. Aug 02	2038	80	SM3EVR	599	74	1
183	03. Aug 02	2039	80	S59AA	599	50	1
184	03. Aug 02	2040	80	F5IN	599	65	
185	03. Aug 02	2043	80	LY2OM	599	58	1

						MUL:	108
						QSO:	185
				Points:			19980
