EA3AKA SSB/LOW


			166 x 46 = 7636 Claimed Score.



QSO:    freq.   mo        hour    ind.pr. send    Ind.DX  rcvd.
QSO:66  14000   PH        1320    EA3AKA  5997    UA2FF   5976
QSO:67  14000   PH        1328    EA3AKA  5997    LY9A    5975
QSO:68  14000   PH        1329    EA3AKA  5997    IZ3ESV  5902
QSO:69  14000   PH        1331    EA3AKA  5997    LY6A    5977
QSO:70  14000   PH        1345    EA3AKA  5997    RK3AWL  5986
QSO:71  14000   PH        1347    EA3AKA  5997    SP2PIK  5997
QSO:72  14000   PH        1348    EA3AKA  5997    S50A    5963
QSO:73  14000   PH        1350    EA3AKA  5997    R3ZWM   5902
QSO:74  14000   PH        1356    EA3AKA  5997    M0BEW   5997
QSO:75  14000   PH        1410    EA3AKA  5997    RA6CT   5972
QSO:76  14000   PH        1412    EA3AKA  5997    LY2FN   5978
QSO:77  14000   PH        1416    EA3AKA  5997    S50Q    5980
QSO:78  14000   PH        1417    EA3AKA  5997    RV3ACA  5995
QSO:79  14000   PH        1420    EA3AKA  5997    US5MTJ  5996
QSO:80  14000   PH        1421    EA3AKA  5997    YT1RU   5997
QSO:81  14000   PH        1428    EA3AKA  5997    UU7J    5990
QSO:82  14000   PH        1429    EA3AKA  5997    R3ZMO   5902
QSO:83  14000   PH        1431    EA3AKA  5997    S51F    5972
QSO:84  14000   PH        1435    EA3AKA  5997    RA1OZ   5994
QSO:85  14000   PH        1437    EA3AKA  5997    G3VAO   5966
QSO:86  14000   PH        1442    EA3AKA  5997    R3ZAQ   5902
QSO:87  14000   PH        1446    EA3AKA  5997    PA3FQA  5990
QSO:88  14000   PH        1447    EA3AKA  5997    R3ZNJ   5902
QSO:89  14000   PH        1451    EA3AKA  5997    LZ2OG   5993
QSO:90  14000   PH        1459    EA3AKA  5997    S55A    5963
QSO:91  14000   PH        1507    EA3AKA  5997    OK2MBP  5995
QSO:92  14000   PH        1508    EA3AKA  5997    YO5KUA  5900
QSO:93  14000   PH        1509    EA3AKA  5997    R3ZNO   5902
QSO:94  14000   PH        1509    EA3AKA  5997    SM7BJW  5951
QSO:95  14000   PH        1510    EA3AKA  5997    DH5NBK  5984
QSO:96  14000   PH        1511    EA3AKA  5997    UX7DX   5989
QSO:97  14000   PH        1512    EA3AKA  5997    YO3FLQ  5987
QSO:98  14000   PH        1515    EA3AKA  5997    R3ZRP   5902
QSO:99  14000   PH        1524    EA3AKA  5997    EU1SA   5973
QSO:100 14000   PH        1526    EA3AKA  5997    R3ZJT   5902
QSO:101 14000   PH        1531    EA3AKA  5997    HA5CZ   5958
QSO:102 14000   PH        1656    EA3AKA  5997    UA4CCG  5973
QSO:103 14000   PH        1705    EA3AKA  5997    S58AL   5973
QSO:104 14000   PH        1706    EA3AKA  5997    OL5Y    5984
QSO:105 14000   PH        1708    EA3AKA  5997    LY2CY   5965
QSO:106 14000   PH        1710    EA3AKA  5997    R9/N5XZ 5970
QSO:107 14000   PH        1717    EA3AKA  5997    YL0A    5973
QSO:108 14000   PH        1720    EA3AKA  5997    RW4WZ   5962
QSO:109 14000   PH        1722    EA3AKA  5997    YO7BGA  5971
QSO:110 14000   PH        1723    EA3AKA  5997    LZ4UU   5995
QSO:111 14000   PH        1725    EA3AKA  5997    LZ1DM   5989
QSO:112 14000   PH        1732    EA3AKA  5997    RK3AO   5954
QSO:113 14000   PH        1739    EA3AKA  5997    UA4NCI  5974
QSO:114 14000   PH        1740    EA3AKA  5997    OH4A    5982
QSO:115 14000   PH        1757    EA3AKA  5997    EU6NN   5901
QSO:116 14000   PH        1759    EA3AKA  5997    SQ9IDE  5999
QSO:117 14000   PH        1805    EA3AKA  5997    RU3DZ   5960
QSO:118 14000   PH        1808    EA3AKA  5997    RW6HJV  5983
QSO:119 14000   PH        1810    EA3AKA  5997    OH2TA   5979
QSO:120 14000   PH        1811    EA3AKA  5997    SP9LJD  5979
QSO:121 14000   PH        1812    EA3AKA  5997    LY2IJ   5981
QSO:122 14000   PH        1815    EA3AKA  5997    EA4CBH  5997
QSO:123 28000   PH        1826    EA3AKA  5997    RK3AWL  5986
QSO:124 14000   PH        1839    EA3AKA  5997    OK1KZ   5966
QSO:125 14000   PH        1842    EA3AKA  5997    IZ4DJZ  5994
QSO:126 14000   PH        1845    EA3AKA  5997    ON6UD   5976
QSO:127 14000   PH        1846    EA3AKA  5997    DL1PT   5985
QSO:128 14000   PH        1847    EA3AKA  5997    DH8ACF  5996
QSO:129 14000   PH        1849    EA3AKA  5997    UA6JD   5970
QSO:130 14000   PH        1850    EA3AKA  5997    U1BA    5965
QSO:131 14000   PH        1857    EA3AKA  5997    UT6IS   5981
QSO:132 14000   PH        1859    EA3AKA  5997    DL1IAO  5990
QSO:133 14000   PH        1900    EA3AKA  5997    IZ3ESV  5902
QSO:134 14000   PH        1901    EA3AKA  5997    M0SDX   5900
QSO:135 14000   PH        1903    EA3AKA  5997    SP6IEQ  5974
QSO:136 14000   PH        1907    EA3AKA  5997    RA3QK   5972
QSO:137 14000   PH        1908    EA3AKA  5997    UT5EPW  5999
QSO:138 14000   PH        1910    EA3AKA  5997    G4SGV   5983
QSO:139 14000   PH        1911    EA3AKA  5997    YZ1ZV   5900
QSO:140 14000   PH        1912    EA3AKA  5997    DK1SSB  5997
QSO:141 14000   PH        1914    EA3AKA  5997    YU1AFR  5900
QSO:142 14000   PH        1915    EA3AKA  5997    G2HDU   5939
QSO:143 14000   PH        1916    EA3AKA  5997    SP6NVK  5984
QSO:144 14000   PH        1917    EA3AKA  5997    YO8RIX  5992
QSO:145 14000   PH        1918    EA3AKA  5997    DL5JBW  5995
QSO:146 14000   PH        1919    EA3AKA  5997    UT1DX   5981
QSO:147 14000   PH        1920    EA3AKA  5997    PA0ATY  5958
QSO:148 14000   PH        1921    EA3AKA  5997    G3ZQQ   5970
QSO:149 14000   PH        1921    EA3AKA  5997    ON4JZ   5982
QSO:150 14000   PH        1923    EA3AKA  5997    DK1GW   5966
QSO:151 14000   PH        1924    EA3AKA  5997    SP5LCC  5977
QSO:152 14000   PH        1924    EA3AKA  5997    YO2II   5962
QSO:153 14000   PH        1926    EA3AKA  5997    RU6FA   5988
QSO:154 14000   PH        1931    EA3AKA  5997    OE3DMA  5900
QSO:155 14000   PH        1933    EA3AKA  5997    SN1A    5970
QSO:156 14000   PH        1934    EA3AKA  5997    LZ1BY   5967
QSO:157 14000   PH        1935    EA3AKA  5997    YO7LBX  5987
QSO:158 14000   PH        1937    EA3AKA  5997    GI0UQK  5992
QSO:159 14000   PH        1942    EA3AKA  5997    SQ6ILC  5981
QSO:160 14000   PH        1952    EA3AKA  5997    HB9JW   5949
QSO:161 14000   PH        1959    EA3AKA  5997    IK4ZGQ  5995
QSO:162 14000   PH        1959    EA3AKA  5997    OH6RE   5985
QSO:163 14000   PH        2001    EA3AKA  5997    YU1NR   5962
QSO:164 14000   PH        2002    EA3AKA  5997    DL3HCS  5992
QSO:165 21000   PH        2016    EA3AKA  5997    SP5BB   5966
QSO:166 14000   PH        2100    EA3AKA  5997    EV6C    5995
